qubitParentSlug,legacyId,parentId,identifier,culture,levelOfDescription,title,eventDates,eventStartDates,eventEndDates,language,languageOfDescription,scriptOfDescription,extentAndMedium,physicalCharacteristics,arrangement,scopeAndContent,relatedUnitsOfDescription,accessConditions,generalNote,genreAccessPoints
professional-files,1,,01-May,en,File,[ITAK general election candidacy nomination form for Kankesanthurai],"1957, 15 Dec. 1964",1957,1964,ta,ta|en,Taml|Latn,1 file of textual records,File was moved from Box 5. File number was illegible - 135 (2)?,Original folder number is 4(1),File contains ITAK's general election candidacy nomination form for Kankesanthurai electorate completed and signed by S. J. V. Chelvanayakam in 1964. Also includes an ITAK poradda fund ticket book.,,,File was moved from Box 5. File number was illegible - 135 (2)?,Textual records
professional-files,1,,01-May,ta,,[இலங்கைத் தமிழரசுக் கட்சியின் பொதுத் தேர்தல் வேட்பாளர் நியமன விண்ணப்பம் - காங்கேசன்துறைத் தொகுதி],"1957, 15 Dec. 1964",1957,1964,ta,ta|en,Taml|Latn,2 file of textual records,File was moved from Box 5. File number was illegible - 135 (2)?,Original folder number is 4(1),இக்கோப்பு எஸ். ஜே. வி. செல்வநாயகத்தின் கையொப்பத்துடனான இலங்கைத் தமிழரசுக் கட்சியின் காங்கேசன்துறைத் தேர்தல் தொகுதிக்கான பூரணப்படுத்தப்பட்ட பொதுத் தேர்தல் வேட்பாளர் நியமன விண்ணப்பத்தைக் கொண்டுள்ளது.,,,File was moved from Box 5. File number was illegible - 135 (2)?,
professional-files,2,,02-May,en,File,[ITAK general election candidacy nomination form for Vaddukoddai],17 Dec. 1964,1964,1964,ta,ta|en,Taml|Latn,3 file of textual records,File was moved from Box 5. File number was illegible - 135 (2)?,Original folder number is 4(2),File contains ITAK's general election candidacy nomination form for Vaddukoddai electorate completed and signed by A. Amirthalingam. ,,,File was moved from Box 5. File number was illegible - 135 (2)?,Textual records
professional-files,2,,02-May,ta,,[இலங்கைத் தமிழரசுக் கட்சியின் பொதுத் தேர்தல் வேட்பாளர் நியமன விண்ணப்பம் - வட்டுக்கோட்டை தொகுதி],17 Dec. 1964,1964,1964,ta,ta|en,Taml|Latn,4 file of textual records,File was moved from Box 5. File number was illegible - 135 (2)?,Original folder number is 4(2),இக்கோப்பு அ. அமிர்தலிங்கத்தின் கையொப்பத்துடனான இலங்கைத் தமிழரசுக் கட்சியின் வட்டுக்கோட்டை தேர்தல் தொகுதிக்கான பூரணப்படுத்தப்பட்ட பொதுத் தேர்தல் வேட்பாளர் நியமன விண்ணப்பத்தைக் கொண்டுள்ளது.,,,File was moved from Box 5. File number was illegible - 135 (2)?,
professional-files,3,,03-May,en,File,[Correspondence regarding ITAK candidate for Uduvil],1964,1964,1964,ta|en,ta|en,Taml|Latn,5 file of textual records,,Original folder number is 4(3),File contains ITAK's general election candidacy nomination form signed by V. Dharmalingam. Also includes a letter from V. Dharmalingam to S. J. V. Chelvanayakam regarding the Uduvil seat. ,,,File was moved from Box 5. Original number was 135 (3),Textual records
professional-files,3,,03-May,ta,,[இலங்கைத் தமிழரசுக் கட்சியின் உடுவில் தொகுதி வேட்பாளர் தொடர்பான கடிதத் தொடர்பு],1964,1964,1964,ta|en,ta|en,Taml|Latn,6 file of textual records,,Original folder number is 4(3),"இக்கோப்பு வி. தர்மலிங்கத்தின் கையொப்பத்துடனான இலங்கைத் தமிழரசுக் கட்சியின் [உடுவில்] தேர்தல் தொகுதிக்கான பூரணப்படுத்தப்பட்ட பொதுத் தேர்தல் வேட்பாளர் நியமன விண்ணப்பத்தைக் கொண்டுள்ளது. மேலும், உடுவில் இருக்கை தொடர்பாக வி. தர்மலிங்கத்திடமிருந்து எஸ். ஜே. வி. செல்வநாயகத்திற்கு அனுப்பப்பட்டுள்ள கடிதமொன்றையும் கொண்டுள்ளது. ",,,File was moved from Box 5. Original number was 135 (3),
professional-files,4,,04-May,en,File,[ITAK general election candidacy nomination form for Urkaavaturai - Kayts],17 Dec. 1964,1964,1964,ta,ta|en,Taml|Latn,7 file of textual records,,Original folder number is 4(4),File contains ITAK's general election candidacy nomination form for Urkaavaturai [Kayts] electorate completed and signed by V. Navaratnam. ,,,File was moved from Box 5. There was no number on the file. ,Textual records
professional-files,4,,04-May,ta,,[இலங்கைத் தமிழரசுக் கட்சியின் பொதுத் தேர்தல் வேட்பாளர் நியமன விண்ணப்பம் - ஊர்காவற்றுறைத் தொகுதி],17 Dec. 1964,1964,1964,ta,ta|en,Taml|Latn,8 file of textual records,,Original folder number is 4(4),இக்கோப்பு வி. நவரத்தினத்தின் கையொப்பத்துடனான இலங்கைத் தமிழரசுக் கட்சியின் ஊர்காவற்றுறை தேர்தல் தொகுதிக்கான பூரணப்படுத்தப்பட்ட பொதுத் தேர்தல் வேட்பாளர் நியமன விண்ணப்பத்தைக் கொண்டுள்ளது.,,,File was moved from Box 5. There was no number on the file. ,
professional-files,5,,05-May,en,File,[Correspondence regarding ITAK candidate for Kopay],1963-1965,1963,1965,ta|en,ta|en,Taml|Latn,9 file of textual records,,Original folder number is 5,"File contains documents related to ITAK candidate for the Kopay electorate. File includes 6 letters written by N. Tharmalingam on behalf of ITAK Youth Front, villagers of Nirveli, S. J. V. Chelvanayakam, P. Eliathamby, and K. Sivanandasuntharam. Also includes  ITAK's general election candidacy nomination form for Kopay electorate completed and signed by C. Kathiravelupillai.",,,,Textual records
professional-files,5,,05-May,ta,,[இலங்கைத் தமிழரசுக் கட்சியின் கோப்பாய் தொகுதி வேட்பாளர் தொடர்பான கடிதத் தொடர்பு],1963-1965,1963,1965,ta|en,ta|en,Taml|Latn,10 file of textual records,,Original folder number is 5,"இக்கோப்பு தமிழரசுக் கட்சியின் கோப்பாய் தேர்தல் தொகுதி வேட்பாளர் தொடர்பான ஆவணங்களைக் கொண்டுள்ளது. என். தர்மலிங்கம் (தமிழரசுக் கட்சி வாலிப முன்னணி), நீர்வேலி கிராமத்தினர், எஸ். ஜே. வி. செல்வநாயகம், பி. இளையதம்பி, கே. சிவனந்தசுந்தரம் ஆகியோரால் எழுதப்பட்ட ஆறு கடிதங்களைக் கொண்டுள்ளது. மேலும், சி. கதிரவேற்பிள்ளையின் கையொப்பத்துடனான இலங்கைத் தமிழரசுக் கட்சியின் கோப்பாய் தேர்தல் தொகுதிக்கான பூரணப்படுத்தப்பட்ட பொதுத் தேர்தல் வேட்பாளர் நியமன விண்ணப்பத்தைக் கொண்டுள்ளது.",,,,
