legacyId,name,type,location,culture,descriptionSlugs
35191,B2015-0004/001,Box,UTARMS,en,biographical-and-early-education
35191,B2015-0004/002,Box,UTARMS,en,biographical-and-early-education
35191,B2015-0004/003,Box,UTARMS,en,biographical-and-early-education
35191,B2015-0004/004,Box,UTARMS,en,biographical-and-early-education
35191,B2015-0004/005,Box,UTARMS,en,biographical-and-early-education
35191|34991,B2015-0004/006,Box,UTARMS,en,biographical-and-early-education|correspondence-221
34991,B2015-0004/007,Box,UTARMS,en,correspondence-221
34991,B2015-0004/008,Box,UTARMS,en,correspondence-221
34991,B2015-0004/009,Box,UTARMS,en,correspondence-221
54291,B2015-0004/006(09),Folder,UTARMS,en,correspondence-re-dr-bondar
